chisq H0 ombh2 omch2 tau As ns
2.619769238884613515e+03 6.879585219189881684e+01 2.247316079080407397e-02 1.162274996800257282e-01 1.054619797762327421e-02 1.904726997625856577e-09 9.739748857316703479e-01
2.619769238884613515e+03 6.879585219189881684e+01 2.247316079080407397e-02 1.162274996800257282e-01 1.054619797762327421e-02 1.904726997625856577e-09 9.739748857316703479e-01
2.619810485711715501e+03 6.883270850799699758e+01 2.247316169647205902e-02 1.162291012801263818e-01 1.038749930732731433e-02 1.904726997624390399e-09 9.739716470667808546e-01
2.621016434333739198e+03 6.868635274599090224e+01 2.247315065925642452e-02 1.162274097997602895e-01 1.042438237909625205e-02 1.904726997623143838e-09 9.739743775175410123e-01
2.626009919811378950e+03 6.853116548217911941e+01 2.247314794460531645e-02 1.162272801824244944e-01 1.020210308953184083e-02 1.904726997626393417e-09 9.739758982256813136e-01
2.626009919811378950e+03 6.853116548217911941e+01 2.247314794460531645e-02 1.162272801824244944e-01 1.020210308953184083e-02 1.904726997626393417e-09 9.739758982256813136e-01
2.626009919811378950e+03 6.853116548217911941e+01 2.247314794460531645e-02 1.162272801824244944e-01 1.020210308953184083e-02 1.904726997626393417e-09 9.739758982256813136e-01
2.624493929327886690e+03 6.856547603182950468e+01 2.247314132946293119e-02 1.162273621252208483e-01 1.027156731606186646e-02 1.904726997627449726e-09 9.739745668131294387e-01
2.623616609766201691e+03 6.862900518391865035e+01 2.247314800896213841e-02 1.162295057911701956e-01 1.002958537670665777e-02 1.904726997626078675e-09 9.739722504861793029e-01
2.623319355101723886e+03 6.869647652448585973e+01 2.247313327432366031e-02 1.162309477698125759e-01 9.734400787854442100e-03 1.904726997625818113e-09 9.739745149671700242e-01
2.623319355101723886e+03 6.869647652448585973e+01 2.247313327432366031e-02 1.162309477698125759e-01 9.734400787854442100e-03 1.904726997625818113e-09 9.739745149671700242e-01
2.623319355101723886e+03 6.869647652448585973e+01 2.247313327432366031e-02 1.162309477698125759e-01 9.734400787854442100e-03 1.904726997625818113e-09 9.739745149671700242e-01
2.623319355101723886e+03 6.869647652448585973e+01 2.247313327432366031e-02 1.162309477698125759e-01 9.734400787854442100e-03 1.904726997625818113e-09 9.739745149671700242e-01
2.623319355101723886e+03 6.869647652448585973e+01 2.247313327432366031e-02 1.162309477698125759e-01 9.734400787854442100e-03 1.904726997625818113e-09 9.739745149671700242e-01
2.622962547213003290e+03 6.885505053305541878e+01 2.247313825010899269e-02 1.162302701042986219e-01 9.306600226874314416e-03 1.904726997625516605e-09 9.739711677830639180e-01
2.622962547213003290e+03 6.885505053305541878e+01 2.247313825010899269e-02 1.162302701042986219e-01 9.306600226874314416e-03 1.904726997625516605e-09 9.739711677830639180e-01
2.621508387386106733e+03 6.894815229544728652e+01 2.247314406566074119e-02 1.162298698139588166e-01 9.601051877335516072e-03 1.904726997626328897e-09 9.739749236817323297e-01
